,git_hash,commit_date,cve_data,cwe_group,published_date,severity,impact_score
60,c12b36b8d3e06c2eba1aa3362467f3fa8175a597,2017-02-07 10:09:33+01:00,SQL_INJECTION,,,,
61,e22ce18db2bd52a7e60ee52865bfa5a994e8ab7a,2017-02-07 17:37:03+01:00,SQL_INJECTION,,,,
62,1e43753b438b8b4bc70f300faab961cf920ce310,2017-03-24 15:59:52+01:00,CVE-2016-4658,CWE-119,2016-09-25T10:59Z,HIGH,5.9
63,cef1d6d2cb0dd64e19ecf7f6621dcf1d595b8930,2017-03-24 18:36:05+01:00,CVE-2016-4658,CWE-119,2016-09-25T10:59Z,HIGH,5.9
64,254326cb3682389f55f886804d2c43f7b9f23e4f,2017-04-04 16:00:41+02:00,CVE-2017-7233,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
65,5f1ffb07afc1e59729ce2b283124116d6c0659e4,2017-04-04 16:00:41+02:00,CVE-2017-7234,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
66,2a9f6ef71b8e23fd267ee2be1be26dde8ab67037,2017-04-04 16:17:35+02:00,CVE-2017-7234,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
67,f824655bc2c50b19d2f202d7640785caabc82787,2017-04-04 16:17:35+02:00,CVE-2017-7233,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
68,5ea48a70afac5e5684b504f09286e7defdd1a81a,2017-04-04 16:42:06+02:00,CVE-2017-7233,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
69,a1f948b468b6621083a03b0d53432341b7a4d753,2017-04-04 16:42:06+02:00,CVE-2017-7234,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
70,001ff508081a893d0cf81df1214dbd234606c360,2017-04-04 16:46:50+02:00,CVE-2017-7234,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
71,97e77b7bc14eafda704a01881cb2a3dc164947bc,2017-04-04 16:46:50+02:00,CVE-2017-7233,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
72,b749c980a066a15b58b236656e57b66073a35a52,2017-04-05 03:51:50+02:00,CVE-2017-7233,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
73,2d656d1fa1b66e3c86d27edc985e839aa921bc8f,2017-04-05 03:52:09+02:00,CVE-2017-7233,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
74,fd7105e130e55f67f6b0ba232a8c40f9af51a906,2017-04-05 03:52:17+02:00,CVE-2017-7233,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
75,2c3c029edeaa75e01373f3ec4a02fcc9184a2a76,2017-04-05 03:52:31+02:00,CVE-2017-7233,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
76,c75e5ad16b86df635f13f06b975c2691ace6013f,2017-04-28 20:00:10+02:00,SQL_INJECTION,,,,
77,a114c988b4c17e37508f1d0f96b93fd8b96d2df9,2017-05-02 19:11:50+02:00,SQL_INJECTION,,,,
78,c385994028e703fd589f266d55504d305b52a8a1,2017-05-07 21:07:59+02:00,SQL_INJECTION,,,,
