,git_hash,commit_date,filename_list,cve_data,cwe_group,published_date,severity,impact_score
247,81578d4b93977f32e9c6b6b832ff0cc450e176e5,2018-03-08 20:20:08+01:00,".hgtags,aclocal.m4,README,Makefile.pre.in,LICENSE,.travis.yml,config.guess,config.sub,configure,configure.ac,setup.py,pyconfig.h.in,install-sh,.gitignore,.hgignore,.gitattributes,.hgeol,.bzrignore",CVE-2013-1752,,2019-06-03T20:15Z,,
248,81578d4b93977f32e9c6b6b832ff0cc450e176e5,2018-03-08 20:20:08+01:00,".hgtags,aclocal.m4,README,Makefile.pre.in,LICENSE,.travis.yml,config.guess,config.sub,configure,configure.ac,setup.py,pyconfig.h.in,install-sh,.gitignore,.hgignore,.gitattributes,.hgeol,.bzrignore",CVE-2018-1060,NVD-CWE-noinfo,2018-06-18T14:29Z,MEDIUM,3.6
249,bee6965261bf922a393da25b44f52ee72f052af0,2018-03-08 20:39:58+01:00,".bzrignore,.gitignore,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,README,Makefile.pre.in,LICENSE,.travis.yml,.hgtouch,.hgtags,.hgignore,.hgeol,setup.py,pyconfig.h.in",CVE-2018-1061,NVD-CWE-noinfo,2018-06-19T12:29Z,MEDIUM,3.6
250,bee6965261bf922a393da25b44f52ee72f052af0,2018-03-08 20:39:58+01:00,".bzrignore,.gitignore,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,README,Makefile.pre.in,LICENSE,.travis.yml,.hgtouch,.hgtags,.hgignore,.hgeol,setup.py,pyconfig.h.in",CVE-2013-1752,,2019-06-03T20:15Z,,
251,bee6965261bf922a393da25b44f52ee72f052af0,2018-03-08 20:39:58+01:00,".bzrignore,.gitignore,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,README,Makefile.pre.in,LICENSE,.travis.yml,.hgtouch,.hgtags,.hgignore,.hgeol,setup.py,pyconfig.h.in",CVE-2018-1060,NVD-CWE-noinfo,2018-06-18T14:29Z,MEDIUM,3.6
252,942cc04ae44825ea120e3a19a80c9b348b8194d0,2018-03-11 19:28:53+01:00,".bzrignore,.gitignore,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,README,Makefile.pre.in,LICENSE,.travis.yml,.hgtouch,.hgtags,.hgignore,.hgeol,setup.py,pyconfig.h.in",CVE-2018-1061,NVD-CWE-noinfo,2018-06-19T12:29Z,MEDIUM,3.6
253,942cc04ae44825ea120e3a19a80c9b348b8194d0,2018-03-11 19:28:53+01:00,".bzrignore,.gitignore,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,README,Makefile.pre.in,LICENSE,.travis.yml,.hgtouch,.hgtags,.hgignore,.hgeol,setup.py,pyconfig.h.in",CVE-2013-1752,,2019-06-03T20:15Z,,
254,942cc04ae44825ea120e3a19a80c9b348b8194d0,2018-03-11 19:28:53+01:00,".bzrignore,.gitignore,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,README,Makefile.pre.in,LICENSE,.travis.yml,.hgtouch,.hgtags,.hgignore,.hgeol,setup.py,pyconfig.h.in",CVE-2018-1060,NVD-CWE-noinfo,2018-06-18T14:29Z,MEDIUM,3.6
255,937ac1fe069a4dc8471dff205f553d82e724015b,2018-03-11 19:29:05+01:00,".hgtags,aclocal.m4,README,Makefile.pre.in,LICENSE,.travis.yml,config.guess,config.sub,configure,configure.ac,setup.py,pyconfig.h.in,install-sh,.gitignore,.hgignore,.gitattributes,.hgeol,.bzrignore",CVE-2018-1061,NVD-CWE-noinfo,2018-06-19T12:29Z,MEDIUM,3.6
256,937ac1fe069a4dc8471dff205f553d82e724015b,2018-03-11 19:29:05+01:00,".hgtags,aclocal.m4,README,Makefile.pre.in,LICENSE,.travis.yml,config.guess,config.sub,configure,configure.ac,setup.py,pyconfig.h.in,install-sh,.gitignore,.hgignore,.gitattributes,.hgeol,.bzrignore",CVE-2013-1752,,2019-06-03T20:15Z,,
